,Sr. No.,Symbol,Company Name,Market_Cap
0,1.0,RELIANCE,Reliance Industries Limited,201056022.44887602
1,2.0,TCS,Tata Consultancy Services Limited,140247926.46023402
2,3.0,HDFCBANK,HDFC Bank Limited,109991524.325625
3,4.0,ICICIBANK,ICICI Bank Limited,76765684.662095
4,5.0,BHARTIARTL,Bharti Airtel Limited,69478399.828022
5,6.0,SBIN,State Bank of India,67144317.885449
6,7.0,INFY,Infosys Limited,62179773.923295
7,8.0,LICI,Life Insurance Corporation Of India,57946466.43771151
8,9.0,ITC,ITC Limited,53464377.653102
9,10.0,HINDUNILVR,Hindustan Unilever Limited,53202969.741097
10,11.0,LT,Larsen & Toubro Limited,51739685.697462
11,12.0,BAJFINANCE,Bajaj Finance Limited,44847830.8748
12,13.0,HCLTECH,HCL Technologies Limited,41886777.589308
13,14.0,MARUTI,Maruti Suzuki India Limited,39615824.733008996
14,15.0,SUNPHARMA,Sun Pharmaceutical Industries Limited,38882422.856335
15,16.0,ADANIENT,Adani Enterprises Limited,36446975.839491
16,17.0,KOTAKBANK,Kotak Mahindra Bank Limited,35493864.40367
17,18.0,TITAN,Titan Company Limited,33751854.23088
18,19.0,ONGC,Oil & Natural Gas Corporation Limited,33721438.411683
19,20.0,TATAMOTORS,Tata Motors Limited,32993242.212424
20,21.0,NTPC,NTPC Limited,32561404.877972003
21,22.0,AXISBANK,Axis Bank Limited,32316521.806183998
22,23.0,DMART,Avenue Supermarts Limited,29449575.725408
23,24.0,ADANIGREEN,Adani Green Energy Limited,29069372.020017
24,25.0,ADANIPORTS,Adani Ports and Special Economic Zone Limited,28985824.4334825
25,26.0,ULTRACEMCO,UltraTech Cement Limited,28144844.922926
26,27.0,ASIANPAINT,Asian Paints Limited,27305963.086825
27,28.0,COALINDIA,Coal India Limited,26752403.667507
28,29.0,BAJAJFINSV,Bajaj Finserv Limited,26227442.8525005
29,30.0,BAJAJ-AUTO,Bajaj Auto Limited,25905708.848513998
30,31.0,POWERGRID,Power Grid Corporation of India Limited,25753371.974811003
31,32.0,NESTLEIND,Nestle India Limited,25283575.28526
32,33.0,WIPRO,Wipro Limited,25085189.775062997
33,34.0,M&M,Mahindra & Mahindra Limited,23892541.1944185
34,35.0,IOC,Indian Oil Corporation Limited,23688377.3874825
35,36.0,JIOFIN,Jio Financial Services Limited,22474742.81505
36,37.0,HAL,Hindustan Aeronautics Limited,22250144.25
37,38.0,DLF,DLF Limited,22203575.87292
38,39.0,ADANIPOWER,Adani Power Limited,20588340.067058
