Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Net Profit latest quarter,EPS,Industry PE,Profit growth
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,323.75,18.98,17.91,16.72,24.65,38.33
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,104.09,1.82,24.45,56.57,22.82,463.75
360 ONE,542772,360ONE,Finance & Investments,1098.75,43.12,243.74,24.04,22.82,35.25
3B Blackbio,532067,,Healthcare,1453.50,34.64,11.30,43.92,53.91,31.23
3C IT Solutions,544190,,Computers - Software - Medium / Small,38.15,191.42,0.75,0.28,40.06,-89.47
3M India,523395,3MINDIA,Diversified - Large,35275.80,70.17,146.48,502.52,24.27,25.08
3P Land Hold.,516092,3PLAND,Finance & Investments,41.91,38.13,0.38,1.07,22.82,23.72
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,1.57,32.24,-0.06,0.05,39.14,241.67
5Paisa Capital,540776,5PAISA,Finance & Investments,524.70,28.58,20.07,18.47,15.13,13.88
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,338.05,9.52,-11.13,37.88,40.06,336.28
7Seas Enter.,540874,,Computers - Software - Medium / Small,67.67,128.85,0.27,0.53,40.06,42.03
A B B,500002,ABB,Electric Equipment,7800.75,102.77,443.49,75.71,58.61,58.47
A B Infrabuild,,ABINFRA,Construction,76.50,32.50,4.41,2.30,25.26,95.17
A B M Internatl.,,ABMINTLLTD,Trading,68.48,103.91,2.95,0.66,37.99,109.30
A F Enterprises,538351,,Trading,14.56,5137.80,-0.38,0.01,37.99,100.40
A G Universal,,AGUL,Trading,62.00,17.71,1.20,3.50,37.99,860.00
A K Spintex,539300,,Textiles - Processing,218.00,15.65,0.49,13.93,29.29,-8.37
A R C Finance,540135,,Finance & Investments,1.17,18.23,3.06,0.06,22.82,10700.00
A-1 Acid,542012,,Trading,343.85,224.68,0.84,1.53,37.99,20.55
A.K.Capital Serv,530499,,Finance & Investments,1070.00,7.67,22.92,139.56,22.82,3.37
AA Plus Trade,543319,,Trading,24.05,110.38,0.24,0.21,37.99,152.38
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,121.70,45.59,0.81,2.66,40.06,7.91
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,391.20,22.41,200.14,18.99,20.44,32.90
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,12.82,20.35,1.20,0.63,22.94,46.33
Aananda Lakshmi,539096,,Construction,15.56,1.13,0.09,7.23,29.24,185.21
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,60.87,23.62,1.24,2.57,35.12,55.48
Aarnav Fashions,539562,,Textiles - Products,49.50,29.20,1.78,1.70,29.42,467.18
Aaron Industries,,AARON,Engineering,269.65,42.79,1.87,6.30,43.78,13.99
Aartech Solonics,542580,AARTECH,Electric Equipment,70.01,96.06,1.12,0.73,58.61,7833.33
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,527.60,37.56,26.91,14.06,35.12,-22.14
Aarti Industries,524208,AARTIIND,Chemicals,621.40,46.59,137.00,13.35,39.95,0.93
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,633.35,25.49,55.45,24.86,34.40,19.36
Aarti Surfactant,543210,AARTISURF,Chemicals,635.75,27.78,2.33,22.81,39.95,35.79
Aarvi Encon,,AARVI,Miscellaneous,139.69,19.41,2.61,7.20,32.17,-25.85
Aashka Hospitals,543346,,Healthcare,104.90,103.57,1.93,1.01,53.91,192.22
AastamangalamFin,511764,,Finance & Investments,41.25,8.11,1.67,5.08,22.82,132.31
Aatmaj Health,,AATMAJ,Healthcare,26.70,68.57,-1.41,0.39,53.91,-85.11
